CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 4.1 0 0.000820159912109 0.00229711648894 0.0228769779205 0.00124096870422 0.00142812728882 0.00371694564819 0.0041069984436 1.0 1.0 0 0 0 0
10 39.3 0 0.000669956207275 0.00208468837592 0.0263161659241 0.000779151916504 0.000948905944824 0.00278902053833 0.0121281147003 1.0 1.0 0 0 0 0
20 79.0 0 0.000596046447754 0.00245970231068 0.0619480609894 0.000770092010498 0.000963926315308 0.00386309623718 0.012414932251 1.0 1.0 0 0 0 0
