CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 009.001 0 0.000885963439941 0.00119245052338 0.00149893760681 0.000885963439941 0.00149893760681 0.00149893760681 0.00149893760681 1.0
10 009.001 0 0.000741958618164 0.00215233564377 0.0159728527069 0.000834941864014 0.00113582611084 0.00318193435669 0.0159728527069 1.0
20 009.001 0 0.000691890716553 0.00107734377791 0.00315093994141 0.000764846801758 0.000888824462891 0.00165200233459 0.00179100036621 1.0
